wl,n
14.244,1.92E-02
14.403,1.40E-02
14.564,9.66E-03
14.730,6.40E-03
14.899,7.14E-03
15.072,1.01E-02
15.250,1.02E-02
15.431,1.02E-02
15.617,1.14E-02
15.808,1.29E-02
16.003,1.12E-02
16.203,8.26E-03
16.408,9.95E-03
16.618,1.43E-02
16.834,1.71E-02
17.056,2.20E-02
17.283,2.93E-02
17.517,5.21E-02
17.757,9.32E-02
18.003,1.07E-01
18.257,7.56E-02
18.518,4.25E-02
18.786,2.66E-02
19.062,1.91E-02
19.347,1.50E-02
19.640,1.90E-02
19.942,2.13E-02
