wl,n
2.5567,2.24E-03
2.5668,2.84E-03
2.5770,2.26E-04
2.5873,2.18E-04
2.5976,2.12E-04
2.6081,2.10E-04
2.6186,2.12E-04
2.6293,2.09E-04
2.6400,2.05E-04
2.6454,2.07E-04
2.6562,2.19E-04
2.6671,2.24E-04
2.6782,2.21E-04
2.6893,2.28E-04
2.6949,1.92E-03
2.7061,1.90E-03
2.7175,2.04E-03
2.7289,2.16E-03
2.7347,2.09E-03
2.7462,2.00E-03
2.7579,2.35E-03
2.7697,2.10E-03
2.7756,1.75E-03
2.7876,1.47E-03
2.7996,1.83E-03
2.8057,2.01E-03
2.8179,2.35E-03
2.8240,2.59E-03
2.8364,2.52E-03
2.8489,1.72E-03
2.8551,1.69E-03
2.8678,2.07E-03
2.8741,2.20E-03
2.8869,1.71E-03
2.8998,1.28E-03
2.9063,1.47E-03
2.9194,2.04E-03
2.9260,2.25E-03
2.9393,2.15E-03
2.9460,2.08E-03
2.9594,1.83E-03
2.9662,1.73E-03
2.9798,1.52E-03
2.9867,1.65E-03
2.9936,2.16E-03
3.0075,2.77E-03
3.0145,2.26E-03
3.0286,1.52E-03
3.0357,1.66E-03
3.0499,1.58E-03
3.0571,1.21E-03
3.0644,1.04E-03
3.0789,1.01E-03
3.0863,1.42E-03
3.0936,2.09E-03
3.1085,3.01E-03
3.1159,2.79E-03
3.1234,2.26E-03
3.1386,1.82E-03
3.1462,2.03E-03
3.1538,2.17E-03
3.1693,1.95E-03
3.1770,2.01E-03
3.1848,2.41E-03
3.1927,2.73E-03
3.2085,3.25E-03
3.2164,3.59E-03
3.2244,3.81E-03
3.2325,3.92E-03
3.2487,3.91E-03
3.2569,3.62E-03
3.2651,3.40E-03
3.2733,3.26E-03
3.2899,2.62E-03
3.2983,2.64E-03
3.3067,3.15E-03
3.3152,4.06E-03
3.3237,5.19E-03
3.3322,6.69E-03
3.3494,1.16E-02
3.3581,1.48E-02
3.3668,1.73E-02
3.3756,1.81E-02
3.3844,1.67E-02
3.3933,1.38E-02
3.4022,1.07E-02
3.4111,8.10E-03
3.4292,5.59E-03
3.4383,5.96E-03
3.4474,6.71E-03
3.4566,7.23E-03
3.4658,7.19E-03
3.4751,6.61E-03
3.4845,5.60E-03
3.4939,4.41E-03
3.5033,3.42E-03
3.5128,2.70E-03
3.5224,2.22E-03
3.5320,1.74E-03
3.5416,1.38E-03
3.5513,1.52E-03
3.5611,1.88E-03
3.5709,2.00E-03
3.5807,1.92E-03
3.5907,1.91E-03
3.6006,1.78E-03
3.6107,1.80E-03
3.6207,1.94E-03
3.6309,1.83E-03
3.6411,1.63E-03
3.6513,1.59E-03
3.6617,1.70E-03
3.6720,1.73E-03
3.6825,1.44E-03
3.6930,1.07E-03
3.7035,1.05E-03
3.7141,1.31E-03
3.7248,1.51E-03
3.7355,1.42E-03
3.7463,1.24E-03
3.7572,1.14E-03
3.7681,1.17E-03
3.7791,1.29E-03
3.7901,1.39E-03
3.8013,1.40E-03
3.8124,1.41E-03
3.8237,1.47E-03
3.8350,1.56E-03
3.8464,1.66E-03
3.8578,1.61E-03
3.8693,1.24E-03
3.8809,1.12E-03
3.8926,1.30E-03
3.9043,1.58E-03
3.9161,1.74E-03
3.9280,1.71E-03
3.9399,1.60E-03
3.9519,1.51E-03
3.9640,1.46E-03
3.9762,1.36E-03
3.9884,1.29E-03
4.0007,1.35E-03
4.0131,1.57E-03
4.0255,1.70E-03
4.0381,1.50E-03
4.0507,1.14E-03
4.0634,1.10E-03
4.0762,1.24E-03
4.0890,1.33E-03
4.1020,1.55E-03
4.1150,1.86E-03
4.1281,1.94E-03
4.1413,1.97E-03
4.1546,2.09E-03
4.1679,2.23E-03
4.1814,2.46E-03
4.1949,2.74E-03
4.2085,2.89E-03
4.2222,3.28E-03
4.2360,3.10E-03
4.2499,3.01E-03
4.2639,2.91E-03
4.2780,1.91E-03
4.2921,9.82E-04
4.3064,1.22E-03
4.3208,1.43E-03
4.3352,1.65E-03
4.3498,1.89E-03
4.3644,2.03E-03
4.3791,2.09E-03
4.3940,1.99E-03
4.4089,1.89E-03
4.4240,1.80E-03
4.4391,1.72E-03
4.4544,1.79E-03
4.4697,1.99E-03
4.4852,2.20E-03
4.5008,2.12E-03
4.5165,1.84E-03
4.5323,1.65E-03
4.5482,1.51E-03
4.5642,1.67E-03
4.5803,2.00E-03
4.5965,2.11E-03
4.6129,2.11E-03
4.6294,2.10E-03
4.6460,2.19E-03
4.6627,2.42E-03
4.6795,2.62E-03
4.6965,2.57E-03
4.7136,2.47E-03
4.7308,2.65E-03
4.7481,2.61E-03
4.7655,2.45E-03
4.7831,2.55E-03
4.8008,2.49E-03
4.8187,2.05E-03
4.8367,1.80E-03
4.8548,1.91E-03
4.8730,1.82E-03
4.8914,1.76E-03
4.9100,1.91E-03
4.9286,1.87E-03
4.9474,1.79E-03
4.9664,2.13E-03
4.9855,2.57E-03
5.0047,2.90E-03
5.0241,3.14E-03
5.0437,3.27E-03
5.0634,3.23E-03
5.0832,3.49E-03
5.1033,4.34E-03
5.1234,4.90E-03
5.1438,4.74E-03
5.1643,4.11E-03
5.1849,3.43E-03
5.2057,2.97E-03
5.2267,2.83E-03
5.2479,2.81E-03
5.2692,2.49E-03
5.2907,2.31E-03
5.3124,2.52E-03
5.3343,2.59E-03
5.3563,2.72E-03
5.3785,2.91E-03
5.4009,3.51E-03
5.4235,4.54E-03
5.4463,5.26E-03
5.4693,5.98E-03
5.4925,6.49E-03
5.5159,6.69E-03
5.5394,7.13E-03
5.5632,7.67E-03
5.5872,8.35E-03
5.6114,9.53E-03
5.6358,1.15E-02
5.6604,1.59E-02
5.6852,2.46E-02
5.7103,5.64E-02
5.7355,1.76E-01
5.7610,3.84E-01
5.7867,5.45E-01
5.8127,5.29E-01
5.8389,3.13E-01
5.8653,1.21E-01
5.8919,4.69E-02
5.9188,2.90E-02
5.9460,2.38E-02
5.9734,1.84E-02
6.0011,1.36E-02
6.0290,1.04E-02
6.0571,8.75E-03
6.0856,7.69E-03
6.1143,7.42E-03
6.1433,7.77E-03
6.1725,9.37E-03
6.2020,1.02E-02
6.2319,8.74E-03
6.2620,7.37E-03
6.2924,9.42E-03
6.3231,1.46E-02
6.3541,1.49E-02
6.3854,9.93E-03
6.4170,7.14E-03
6.4489,6.23E-03
6.4811,6.03E-03
6.5137,7.03E-03
6.5466,8.15E-03
