wl,n
5.1643,2.17E-03
5.1849,2.08E-03
5.2057,1.98E-03
5.2267,1.78E-03
5.2479,1.59E-03
5.2692,1.60E-03
5.2907,1.93E-03
5.3124,2.31E-03
5.3343,1.88E-03
5.3563,1.60E-03
5.3785,1.81E-03
5.4009,1.80E-03
5.4235,2.01E-03
5.4463,2.32E-03
5.4693,2.24E-03
5.4925,2.11E-03
5.5159,2.18E-03
5.5394,2.18E-03
5.5632,2.05E-03
5.5872,2.14E-03
5.6114,2.22E-03
5.6358,2.64E-03
5.6604,3.25E-03
5.6852,3.48E-03
5.7103,4.46E-03
5.7355,7.22E-03
5.7610,1.10E-02
5.7867,1.30E-02
5.8127,1.18E-02
5.8389,8.20E-03
5.8653,5.13E-03
5.8919,3.32E-03
5.9188,2.86E-03
5.9460,2.57E-03
5.9734,2.52E-03
6.0011,2.64E-03
6.0290,2.60E-03
6.0571,2.57E-03
6.0856,2.21E-03
6.1143,1.64E-03
6.1433,1.95E-03
6.1725,2.14E-03
6.2020,2.04E-03
6.2319,2.64E-03
6.2620,2.87E-03
6.2924,2.63E-03
6.3231,2.71E-03
6.3541,2.58E-03
6.3854,2.33E-03
6.4170,2.24E-03
6.4489,2.31E-03
6.4811,2.49E-03
6.5137,2.71E-03
6.5466,2.35E-03
6.5798,1.76E-03
6.6134,1.62E-03
6.6473,1.87E-03
6.6816,2.76E-03
6.7162,3.38E-03
6.7512,3.25E-03
6.7865,4.35E-03
6.8223,6.28E-03
6.8583,7.56E-03
6.8948,1.04E-02
6.9317,2.05E-02
6.9690,3.48E-02
7.0066,3.76E-02
7.0447,2.59E-02
7.0832,1.29E-02
7.1221,6.99E-03
7.1615,6.59E-03
7.2013,8.98E-03
7.2415,1.13E-02
7.2822,1.24E-02
7.3233,1.36E-02
7.3649,1.60E-02
7.4070,1.88E-02
7.4496,2.48E-02
7.4926,3.25E-02
7.5362,3.40E-02
7.5803,2.92E-02
7.6249,2.46E-02
7.6700,2.33E-02
7.7156,2.34E-02
7.7618,2.42E-02
7.8086,2.69E-02
7.8559,3.43E-02
7.9038,4.74E-02
7.9523,5.88E-02
8.0014,5.97E-02
8.0511,5.38E-02
8.1014,4.51E-02
8.1524,3.26E-02
8.2040,2.24E-02
8.2562,2.01E-02
8.3091,2.26E-02
8.3628,2.38E-02
8.4171,1.98E-02
8.4721,1.45E-02
8.5278,1.24E-02
8.5843,1.20E-02
8.6415,1.12E-02
8.6995,1.01E-02
8.7583,9.83E-03
8.8179,1.16E-02
8.8783,1.49E-02
8.9395,1.72E-02
9.0016,2.01E-02
9.0645,2.31E-02
9.1284,2.35E-02
9.1931,2.17E-02
9.2588,2.09E-02
9.3254,1.99E-02
9.3930,1.70E-02
9.4615,1.49E-02
9.5311,1.30E-02
9.6017,1.23E-02
9.6733,1.29E-02
9.7461,1.41E-02
9.8199,1.47E-02
9.8949,1.44E-02
9.9710,1.55E-02
10.048,1.87E-02
10.127,2.28E-02
10.207,2.98E-02
10.288,3.72E-02
10.370,4.07E-02
10.453,3.76E-02
10.538,3.10E-02
10.625,2.49E-02
10.713,2.14E-02
10.802,2.03E-02
10.893,1.92E-02
10.985,1.65E-02
11.079,1.37E-02
11.174,1.28E-02
11.272,1.25E-02
11.370,1.24E-02
11.471,1.20E-02
11.573,1.22E-02
11.678,1.24E-02
11.784,1.26E-02
11.892,1.31E-02
12.002,1.16E-02
12.114,7.79E-03
12.229,4.06E-03
12.345,3.19E-03
12.464,4.04E-03
12.585,3.93E-03
12.708,5.33E-03
12.834,5.53E-03
12.962,4.86E-03
13.093,5.32E-03
13.227,6.30E-03
13.363,6.78E-03
13.502,8.51E-03
13.645,1.15E-02
13.790,1.32E-02
13.938,1.80E-02
14.089,2.82E-02
14.244,3.74E-02
14.403,4.32E-02
14.564,4.38E-02
14.730,3.89E-02
14.899,3.35E-02
15.072,3.21E-02
15.250,4.01E-02
15.431,5.65E-02
15.617,7.18E-02
15.808,7.87E-02
16.003,8.05E-02
16.203,8.09E-02
16.408,7.23E-02
16.618,5.05E-02
16.834,2.97E-02
17.056,2.01E-02
17.283,1.63E-02
17.517,1.34E-02
17.757,1.07E-02
18.003,1.00E-02
18.257,1.37E-02
18.518,1.60E-02
18.786,1.25E-02
19.062,9.81E-03
19.347,7.57E-03
19.640,5.41E-03
19.942,5.60E-03
